AjayRStr1	b'RT @MichaelVaughan: I think Rahul Dravid is going to make a fantastic head coach for #India '
vish_people	b'RT @rdivia: Indias scientific industry doesnt need enemies when they have friendly gov sources. Instead of celebrating victory of its sci'
KinzaNaqvi72	b'Well paid India\nPLAYED* \n#INDvAFG'
emUmair	b'RT @namaloomafraaad: Spoon-feeding India their first victory in the Worldcup, bowling at the wrong line &amp; length with bad field placement t'
kiingbeastt	b'RT @Abdullahd10s: Scenes kuch aise hain!\n#Fixed\n #INDvsAFG #AFG #India #T20WorldCup#MatchFixed https://t.co/GonGn4aVJ7'
Vishalr37822604	b'RT @BCCI:  NEWS : Mr Rahul Dravid appointed as Head Coach - Team India (Senior Men)\n\nMore Details '
amitspeakshere	b'Good news for @BharatBiotech, finally!!\n\n#COVAXIN #BharatBiotech'
sherekhudi	b'RT @UmerInamPk: Will @ICC investigate the fixed match between India and Afghanistan?? #T20WorldCup #India #AFGvIND'
syedsaadsami	b'RT @SadafAlvi: Congratulations to India.  https://t.co/qkwcWnSqzt'
BAMNMKH	b'RT @maiamofficial: A big tribute to Nammavar @ikamalhaasan by Space Kidz India team.\n\n"BALLOON SATELLITE"\n\nLaunch Date - Nov 4th &amp; 5th\nLaun'
BorwankarParth	b'RT @JM_Scindia: Congratulations India, as we achieve yet another milestone in our fight against COVID-19.  #COVAXIN, gets nod from WHO for'
romisrikar	b'RT @Prabhas_Empire: Karma Is Bitch  https://t.co/KZxXbTQ0Kp'
Gizi68	b'RT @ShoaibAyyub1: Don`t disturb I am watching fixed match between India and Afganistan.\n#fixedmatch \n#fixing #India #Afghanistan https://t.'
reversedimages1	b'RT @iamchanteezy: Whoopi had to gather Michele Tafoya as she began to whitewomansplan about race in America. #TheView https://t.co/pNJw4sOH'
SagarKothariTHV	b'@fhzadran For one this time I didnt want india to win. And now .'
Dennis3958	b'RT @seanmdav: This demented idiot banned America from pumping its own oil.'
LivingWitChoice	b'RT @editorsuresh: The Union Government of India announced an excise duty reduction on Petrol and Diesel by 5 and 10, respectively from mi'
jigsactin	b'RT @UPStatsman: If India restrict Afghanistan to 147 runs than their NRR will be zero and if under 147 runs then their NRR will be positive'
